nama,harga,penjual,kota,total_terjual,rating
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9
Kylafood Seblak Cup,11000,Kylafood Jakarta,Jakarta Selatan,100,5.0
Kylafood Seblak Rempah Autentik,10000,Kylafood Jakarta,Jakarta Selatan,100,5.0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,63000,Sajodo Snack & Food,Tasikmalaya,40,5.0
Seblak instant murah,4900,dapurbulbin,Bandung,0,0.0
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,250,5.0
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",9900,Brother Meat Shop,Depok,100,4.9
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,3000,4.9
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4500,BociKakang,Jakarta Selatan,500,4.8
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,100,5.0
SEBLAK INSTAN MAMANG TERMURAH,4200,global cookware1,Jakarta Barat,250,5.0
Kerupuk Seblak / Seblak / Kering Pedas /,9000,Anggris store,Kab. Bogor,50,4.8
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,60,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,90,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,750,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41000,JAGO TOK PETOK,Surabaya,100,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000,DUO BOCIL SNACK,Depok,100,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,20000,KRIUK JAYA,Jakarta Barat,40,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,15000,Lidigeli,Kab. Garut,250,4.8
Kerupuk Seblak Rafael Mawar Putih Pedas,8355,oke snack,Jakarta Selatan,90,4.9
seblak basreng pedas original exstra daun jeruk 500gram,25000,Seblak putra bandung,Kab. Bandung,250,4.8
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,14000,ajs(ale jaya snack),Jakarta Utara,100,4.9
MIX Seblak + Batagor Kuah,170000,Central Seblak Nusantara,Tangerang Selatan,14,5.0
Seblak Rempah Autentik isi 5 pcs,45000,Kylafood Jakarta,Jakarta Selatan,60,5.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet - Original,7138,Berkah Food Bandung,Cimahi,7000,4.9
seblak kencur / okesnack,10000,oke snack,Jakarta Selatan,750,4.9
Kerupuk seblak pedas,15000,MACALONI SNACK,Cimahi,10,5.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,25,5.0
Seblak Instant Homemade Lengkap Bumbu,5000,Pedas Gilaa,Surabaya,3000,4.8
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,16000,TAM SNACK,Depok,13,5.0
Kerupuk Bawang Mentah Premium / Krupuk Seblak Warna Warni 1 Kg,24500,Sinar Baru Group,Jakarta Selatan,100,4.9
Kerupuk Seblak Pedas Gurih Kencur 250 Gram - Tam Snack,14000,TAM SNACK,Depok,100,4.8
Kerupuk seblak pedas kerupuk pedas - 100 gr,6000,Aikonsnack.,Kab. Bekasi,0,0.0
Seblak Rempah Autentik Kyla Food Khas Bandung 115 g,12700,Gerai Snack Official Shop,Kab. Tangerang,23,5.0
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,85000,Central Seblak Nusantara,Tangerang Selatan,21,5.0
Kylafood Seblak Rempah Autentik isi (20 pcs),240672,kylafood,Bandung,11,5.0
Seblak Kering 210gr,25000,Kartikasnackbangka,Pangkal Pinang,0,0.0
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500gr,9000,Toko Camilan Anyar,Surabaya,100,4.9
kerupuk mix 100 gram campuran seblak,2999,ArfaOnlineShop,Tangerang,21,5.0
Seblak Instan Viral Sajodo Snack,19500,NS Food Store,Jakarta Barat,100,4.9
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",25999,aghniya,Tangerang Selatan,250,4.9
Kerupuk Mawar Bahan Seblak Babangi 250 Gram,7000,Alanza Frozen Food,Tangerang Selatan,28,5.0
cemilan SEBLAK KARI PEDAS 65gr,4500,oke snack,Jakarta Selatan,100,4.8
seblak rafael,17000,Bung Boe Snack,Kab. Sumedang,6,0.0
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,10200,Foodstocks,Jakarta Selatan,40,5.0
Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),19700,Gerai Snack Official Shop,Kab. Tangerang,100,4.8
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138,Berkah Food Bandung,Cimahi,7000,4.9
